NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus,Latitude,Longitude
NCT05938725,"KYSA-1: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Refractory Lupus Nephritis",ACTIVE_NOT_RECRUITING,University of Massachusetts Worcester,Worcester,Massachusetts,01655,United States,,42.26259,-71.80229
NCT05938725,"KYSA-1: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Refractory Lupus Nephritis",ACTIVE_NOT_RECRUITING,Northwell Health,Great Neck,New York,11021,United States,,40.80066,-73.72846
NCT05938725,"KYSA-1: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Refractory Lupus Nephritis",ACTIVE_NOT_RECRUITING,Ohio State University Wexner Medical Center,Columbus,Ohio,43210,United States,,39.96118,-82.99879
NCT05938725,"KYSA-1: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Refractory Lupus Nephritis",ACTIVE_NOT_RECRUITING,University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,,39.95238,-75.16362
NCT05085418,A Study of CD19/BCMA Chimeric Antigen Receptor T Cells Therapy for Patients With Refractory Immune Nephritis,UNKNOWN,"The First Affiliated Hospital, College of Medicine, Zhejiang University",Hangzhou,Zhejiang,310003,China,RECRUITING,30.29365,120.16142
NCT07022197,Safety and Efficacy of BAFF-R CART for Refractory Neuroimmune Diseases,RECRUITING,Tianjin Medical University General Hospital,Tianjin,Tianjin Municipality,300052,China,RECRUITING,39.14222,117.17667
NCT05024175,Long-term Follow-up of Subjects Treated With CAR T Cells,RECRUITING,Massachusetts General Hospital,Boston,Massachusetts,02115,United States,RECRUITING,42.35843,-71.05977
NCT04601831,'Re-Priming' RT After Incomplete Response to CAR-T in R/R NHL,COMPLETED,UT Southwestern Medical Center,Dallas,Texas,75390,United States,,32.78306,-96.80667
NCT07474051,Long-Term Follow-Up of AvenCell Sponsored CAR-T Cell Clinical Trials,ENROLLING_BY_INVITATION,Charité Universitätsmedizin Berlin,Berlin,,,Germany,,52.52437,13.41053
NCT07474051,Long-Term Follow-Up of AvenCell Sponsored CAR-T Cell Clinical Trials,ENROLLING_BY_INVITATION,Technische Universitaet Dresden - Universitaetsklinikum Carl Gustav Carus,Dresden,,,Germany,,51.05089,13.73832
NCT07474051,Long-Term Follow-Up of AvenCell Sponsored CAR-T Cell Clinical Trials,ENROLLING_BY_INVITATION,Universitätsklinikum Marburg,Marburg,,,Germany,,50.80904,8.77069
NCT07474051,Long-Term Follow-Up of AvenCell Sponsored CAR-T Cell Clinical Trials,ENROLLING_BY_INVITATION,Klinikum der Universität (LMU) Muenchen,Munich,,,Germany,,48.13743,11.57549
NCT07474051,Long-Term Follow-Up of AvenCell Sponsored CAR-T Cell Clinical Trials,ENROLLING_BY_INVITATION,Universitatsklinikum Ulm,Ulm,,,Germany,,48.39841,9.99155
NCT06513429,IM19 CAR-T Cell Therapy in Refractory Systemic Lupus Erythematosus (SLE),RECRUITING,Peking Universitiy Third Hospital,Beijing,Beijing Municipality,100191,China,RECRUITING,39.9075,116.39723
NCT06530849,A Study of GC012F Injection in Subjects With Refractory Systemic Lupus Erythematosus,RECRUITING,Research Site,Shanghai,,,China,RECRUITING,31.22222,121.45806
NCT06530849,A Study of GC012F Injection in Subjects With Refractory Systemic Lupus Erythematosus,RECRUITING,Research Site,Wuhan,,430060,China,ACTIVE_NOT_RECRUITING,30.58333,114.26667
NCT03182816,CTLA-4 and PD-1 Antibodies Expressing EGFR-CAR-T Cells for EGFR Positive Advanced Solid Tumor,UNKNOWN,Ningbo No.5 Hospital (Ningbo Cancer Hospital),Ningbo,Zhejiang,315201,China,RECRUITING,29.87819,121.54945
NCT06691152,Efficacy and Safety of CD19 UCAR T Cells in Refractory Systemic Lupus Erythematosus,RECRUITING,"Children's Hospital, Zhejiang University School of Medicine",Hangzhou,Zhejiang,310052,China,RECRUITING,30.29365,120.16142
NCT03166878,A Study Evaluating UCART019 in Patients With Relapsed or Refractory CD19+ Leukemia and Lymphoma,UNKNOWN,Biotherapeutic Department and Hematology Department of Chinese PLA General Hospital,Beijing,Beijing Municipality,100853,China,RECRUITING,39.9075,116.39723
NCT05858684,Dual Target CAR-T Cell Treatment for Refractory Systemic Lupus Erythematosus (SLE) Patients,UNKNOWN,"Department of Rheumatology, Ren Ji Hospital South Campus, School of Medicine, Shanghai JiaoTong University",Shanghai,Shanghai Municipality,200001,China,RECRUITING,31.22222,121.45806
NCT07139509,"Allogeneic UCB-derived, Dual-targeting BCMA/CD19 CAR-T for Relapsed/Refractory Multiple Myeloma",RECRUITING,Xi'an No.3 Hospital,Xi’an,Shanxi,710016,China,RECRUITING,35.99785,113.52486
NCT07032129,Sequential CAR-T Cells Targeting BCMA/GPRC5D in Patients With Relapsed/ Refractory Multiple Myeloma,RECRUITING,District One Hospital,Beijing,Beijing Municipality,086-373,China,RECRUITING,39.9075,116.39723
NCT06298019,Study of KYV-101 Anti-CD19 CAR T Therapy in Adult Dermatomyositis,RECRUITING,Stanford University,Palo Alto,California,94304-5755,United States,RECRUITING,37.44188,-122.14302
NCT06298019,Study of KYV-101 Anti-CD19 CAR T Therapy in Adult Dermatomyositis,RECRUITING,Stanford University,Stanford,California,94305,United States,RECRUITING,37.42411,-122.16608
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,University Of Alabama,Birmingham,Alabama,35294,United States,RECRUITING,33.52066,-86.80249
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,FL Medical Clinic Orlando Health,Zephyrhills,Florida,33542,United States,RECRUITING,28.23362,-82.18119
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Northwestern University,Chicago,Illinois,60611,United States,RECRUITING,41.85003,-87.65005
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,University Of Iowa,Iowa City,Iowa,52242,United States,RECRUITING,41.66113,-91.53017
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,LDS Hospital,Salt Lake City,Utah,84143,United States,RECRUITING,40.76078,-111.89105
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Brest,,29200,France,RECRUITING,48.39029,-4.48628
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Lille,,59037,France,SUSPENDED,50.63391,3.05512
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Lyon,,69003,France,RECRUITING,45.74906,4.84789
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Paris,,75013,France,RECRUITING,48.85341,2.3488
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Rennes,,35033,France,RECRUITING,48.11109,-1.67431
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Cologne,North Rhine-Westphalia,50937,Germany,RECRUITING,50.93333,6.95
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Leipzig,Saxony,04103,Germany,RECRUITING,51.33962,12.37129
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Jena,Thuringia,07740,Germany,RECRUITING,50.92878,11.5899
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Aachen,,52074,Germany,RECRUITING,50.77664,6.08342
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Hamburg,,20246,Germany,RECRUITING,53.55073,9.99302
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Mainz,,55131,Germany,RECRUITING,49.98185,8.28008
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Nuremberg,,90419,Germany,RECRUITING,49.45421,11.07752
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Ulm,,89081,Germany,RECRUITING,48.39841,9.99155
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Haifa,,3109601,Israel,RECRUITING,32.81303,34.99928
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Ramat Gan,,5265601,Israel,RECRUITING,32.08227,34.81065
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Tel Aviv,,6423906,Israel,RECRUITING,32.08088,34.78057
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Brescia,BS,25123,Italy,RECRUITING,45.53558,10.21472
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Monza,MB,20900,Italy,RECRUITING,45.58005,9.27246
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Milan,MI,20122,Italy,RECRUITING,42.78235,12.59836
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Sapporo,Hokkaido,0608648,Japan,RECRUITING,43.06667,141.35
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Kanazawa,Ishikawa-ken,920 8641,Japan,RECRUITING,36.6,136.61667
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Yokohama,Kanagawa-ku,236-0004,Japan,RECRUITING,35.43333,139.65
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Sendai,Miyagi,9808574,Japan,RECRUITING,38.26667,140.86667
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Suita,Osaka,565 0871,Japan,RECRUITING,34.76143,135.51567
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Izumo,Shimane,693 8501,Japan,RECRUITING,35.36667,132.76667
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Bunkyo-ku,Tokyo,113-8603,Japan,RECRUITING,,
