NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StartDate,LastUpdatePostDate,EnrollmentCount,Countries,BriefSummary,LeadSponsor,LeadSponsorClass,MinAge,MaxAge,StdAges,PrimaryEndpoints,DiseaseEntities,TrialDesign,DiseaseEntity,LLMOverride,TargetCategory,TargetSource,ProductType,ProductTypeSource,ClassificationConfidence,SponsorType,AgeGroup,ProductName,StartYear,SnapshotDate
NCT07038447,A Study of KITE-363 in Participants With Refractory Autoimmune Diseases,ENROLLING_BY_INVITATION,PHASE1,Systemic Lupus Erythematosus|Lupus Nephritis|Systemic Sclerosis|Idiopathic Inflammatory Myopathy,Cyclophosphamide|Fludarabine|KITE-363,2025-07-02,2026-04-06,52,Australia|Canada|United States,"This study will have two Phases: Phase 1a and Phase 1b. The goal of this clinical study is to learn more about the study drug KITE-363, to establish dosing, tolerability, safety, and preliminary efficacy of KITE-363 in participants with refractory autoimmune diseases.

The primary objectives of this study are:

Phase 1a: To evaluate the safety and tolerability of KITE-363 in participants with autoimmune disease. To determine the recommended dose for Phase 1b.

Phase 1b: To evaluate the safety and efficacy of KITE-363 in participants with autoimmune disease.","Kite, A Gilead Company",INDUSTRY,18 Years,,ADULT|OLDER_ADULT,Phase 1a: Percentage of Participants Experiencing Adverse Events Defined as Dose-limiting Toxicities (DLTs) After the Infusion of KITE-363|Phase 1b: All Cohorts Percentage of Participants Experiencing Treatment-emergent Adverse Event (TEAEs)|Phase 1b: Systemic lupus erythematosus (SLE): Proportion of participants meeting DORIS remission and Lupus low Disease Activity State (LLDAS) criteria at Month 6|Phase 1b: Lupus Nephritis (LN): Proportion of Participants Meeting DORIS Remission|Phase 1b: LN: Proportion of Participants Achieving a Complete Renal Response at Month 6|Phase 1b: Systemic Sclerosis (SSc) Cohort: Proportion of Participants With Improvement in Disease Activity by the Revised Combined Response Index in Diffuse Cutaneous Systemic Sclerosis (rCRISS) at Month 6|Phase 1b: Idiopathic Inflammatory Myopathy (IIM): Proportions of Participants Meeting European League Against Rheumatism (EULAR)-American College of Rheumatology (ACR) Moderate and Major response 2016 Criteria in Total Improvement Score (TIS) at Month 6,IIM|SLE|SSc,Basket/Multidisease,Basket/Multidisease,False,CD19,named_product,Autologous,named_product,high,Industry,Adult,kite-363,2025.0,2026-04-25
NCT07184450,Clinical Study of BCMA/CD70-targeted CAR-T Therapy for Refractory Pediatric Rheumatic Diseases,RECRUITING,PHASE1,Juvenile Dermatomyositis (JDM)|Polyarticular Juvenile Idiopathic Arthritis|Systemic Sclerosis (SSc)|Primary Sjogren&#39;s Syndrome,BCMA/CD70-targetd CAR-T,2025-09-01,2025-09-19,11,China,This is an investigator-initiated trial to evaluate the efficacy and safety of BCMA/CD70-targeted CAR-T in the treatment of refractory pediatric rheumatic diseases.,"Chongqing Precision Biotech Co., Ltd",INDUSTRY,5 Years,,CHILD|ADULT|OLDER_ADULT,"To evaluate the safety of CAR-T in the treatment of refractory pediatric rheumatic diseases [Safety and Tolerability]|The Total Improvement Score (TIS) of CAR-T in the treatment of refractory juvenile dermatomyositis [Effectiveness]|Minimal disease activity, inactive disease and remission of CAR-T in the treatment of refractory polyarticular juvenile idiopathic arthritis [Effectiveness]|Ped ACR 30/50/70/90/100 of CAR-T in the treatment of refractory polyarticular juvenile idiopathic arthritis [Effectiveness]|mRSS of CAR-T in the treatment of refractory systemic sclerosis [Effectiveness]|MDAI of CAR-T in the treatment of refractory systemic sclerosis [Effectiveness]|EUSTAR activity index of CAR-T in the treatment of refractory systemic sclerosis [Effectiveness]|CRISS of CAR-T in the treatment of refractory systemic sclerosis [Effectiveness]|Minimal disease activity, inactive disease and remission of CAR-T in the treatment of refractory primary Sjogren's syndrome [Effectiveness]|The STAR response rate of CAR-T in the treatment of refractory primary Sjogren's syndrome [Effectiveness]|ESSDAI of CAR-T in the treatment of refractory primary Sjogren's syndrome [Effectiveness]|clinESSDAI of CAR-T in the treatment of refractory primary Sjogren's syndrome [Effectiveness]|ESSPRI of CAR-T in the treatment of refractory primary Sjogren's syndrome [Effectiveness]",IIM|SSc|Sjogren,Basket/Multidisease,Basket/Multidisease,False,BCMA/CD70 dual,explicit_marker,Autologous,default_autologous_no_allo_markers,medium,Industry,Both,bcma/cd70 dual,2025.0,2026-04-25
NCT06904729,Chimeric Antigen Receptors T Cells for Refractory/Recurrent Lupus Nephritis in Children,RECRUITING,PHASE3,Lupus Nephritis,High-dose CAR-T cells group|Low-dose CAR-T cells group,2025-05-01,2025-04-01,50,China,"The goal of this prospective, open, single-arm clinical trial was to evaluate the safety and potential efficacy of CAR T cell therapy in children with refractory/recurrent lupus nephritis. The persistence and cell phenotype of CAR-T cells in vivo and CAR-T treatment-related inflammatory factors were evaluated after treatment. To explore new therapeutic methods, in order to reduce the side effects of traditional therapeutic drugs, increase curative effect, and finally make patients obtain long-term survival and improve survival quality.",Guangzhou Women and Children's Medical Center,OTHER,6 Years,18 Years,CHILD|ADULT,Number of participants with CAR-T cells treatment-related adverse events(AE),SLE,Single disease,SLE,False,CAR-T_unspecified,car_core_fallback,Autologous,default_autologous_no_allo_markers,low,Academic,Both,,2025.0,2026-04-25
NCT07448298,A Clinical Study of AFN50 in the Treatment of Autoimmune Diseases,RECRUITING,EARLY_PHASE1,Relapsed/Refractory Autoimmune Diseases,AFN50 injection,2026-03-09,2026-03-11,18,China,"This study is a single-arm, open-label, single-centre exploratory clinical trial designed to evaluate the safety, tolerability, and preliminary efficacy of AFN50 Injection in adult patients with B-cell-mediated refractory/replapased autoimmune diseases.",Beijing Boren Hospital,OTHER,18 Years,69 Years,ADULT|OLDER_ADULT,Adverse Event,Basket/Multidisease,Basket/Multidisease,Basket/Multidisease,False,CAR-T_unspecified,named_product,Autologous,default_autologous_no_allo_markers,low,Academic,Adult,afn50,2026.0,2026-04-25
NCT07432334,CD19 CAR T-Cell Therapy for Refractory Systemic Lupus Erythematosus,NOT_YET_RECRUITING,PHASE1,Refractory Systemic Lupus Erythematosus,Autologous CD19-Targeted CAR-T Cells,2026-03-01,2026-02-25,8,Vietnam,"The goal of this Phase I clinical trial is to evaluate the safety and tolerability of autologous CD19-targeted chimeric antigen receptor T-cell (CAR-T) therapy in adults with refractory systemic lupus erythematosus who have demonstrated inadequate response to standard-of-care immunosuppressive treatments.

The primary questions this study aims to address are:

What is the incidence, nature, and severity of treatment-emergent adverse events following CD19 CAR-T cell infusion? Is administration of CD19 CAR-T cell therapy feasible and tolerable in patients with refractory systemic lupus erythematosus? This study is conducted as a single-arm trial without a comparison group.

Participants will:

Undergo leukapheresis for collection of autologous peripheral blood mononuclear cells Receive a protocol-defined lymphodepleting chemotherapy regimen prior to CAR-T cell infusion Receive a single intravenous infusion of approximately 1.0 × 10⁶ CD19 CAR-T cells per kilogram of body weight Undergo scheduled clinical evaluations, laboratory testing, and longitudinal follow-up to assess safety, tolerability, and clinical parameters",Vinmec Research Institute of Stem Cell and Gene Technology,OTHER,16 Years,55 Years,CHILD|ADULT,Assessment of Frequency and Severity of Adverse Events and Serious Adverse Events,SLE,Single disease,SLE,False,CD19,explicit_marker,Autologous,explicit_autologous,high,Academic,Both,,2026.0,2026-04-25
NCT07295847,A Study of AZD0120 in Autoimmune Diseases,RECRUITING,PHASE1,Systemic Sclerosis|Idiopathic Inflammatory Myopathies|Rheumatoid Arthritis,AZD0120,2026-01-09,2026-02-11,27,Australia|Germany|Spain|United Kingdom|United States,"This trial is a Phase 1b, open-label, multi-center, clinical study of AZD0120, a BCMA/CD19 dual targeting CAR+ T-cell therapy, to evaluate the safety and tolerability in adult participants with systemic sclerosis (SSc), idiopathic inflammatory myopathies (IIM), or difficult-to-treat rheumatoid arthritis (D2T RA).",AstraZeneca,INDUSTRY,18 Years,75 Years,ADULT|OLDER_ADULT,Number of participants and severity of dose limiting toxicities (DLTs) and treatment-emergent adverse events (TEAEs),IIM|RA|SSc,Basket/Multidisease,Basket/Multidisease,False,CD19/BCMA dual,explicit_marker,Autologous,named_product,high,Industry,Adult,azd0120,2026.0,2026-04-25
NCT07203404,A Study of Anti-CD19/BCMA Universal CAR-T Cell Therapy RD06-05 in Patients With Autoimmune Diseases.,RECRUITING,EARLY_PHASE1,SLE|LN|ANCA Associated Vasculitis|ANCA-Associated Glomerulonephritis|Anti-GBM Disease|MN|SSc|IIM,RD06-05 CART Cell Injection,2025-07-24,2025-10-02,84,China,"An Exploratory, Single-Arm, Open-Label, Dose-Escalation Study of the Safety, Tolerability, PK, PD, and Efficacy of Anti-CD19/BCMA Universal CAR-T Therapy RD06-05 in Autoimmune Diseases (including SLE/LN, AAV/AAGN, Anti-GBM, MN, SSc, and IIM).","Nanjing Bioheng Biotech Co., Ltd.",INDUSTRY,18 Years,75 Years,ADULT|OLDER_ADULT,"The incidence of adverse events (TEAEs), serious adverse events (SAEs), and adverse events of particular concern (AESI) during treatment",AAV|IIM|SLE|SSc,Basket/Multidisease,Basket/Multidisease,False,CD19/BCMA dual,explicit_marker,Allogeneic/Off-the-shelf,explicit_allogeneic,high,Industry,Adult,rd06-05,2025.0,2026-04-25
NCT06193889,"KYSA-6: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Therapy, in Patients With Generalized Myasthenia Gravis",RECRUITING,PHASE2|PHASE3,Myasthenia Gravis|Generalized Myasthenia Gravis,KYV-101|Standard lymphodepletion regimen|Standard of Care Treatment,2024-08-28,2026-04-06,66,Australia|Brazil|Germany|United States,A Study of the Anti-CD 19 Chimeric Antigen Receptor T Cell Therapy for Patients with Myasthenia Gravis,Kyverna Therapeutics,INDUSTRY,18 Years,75 Years,ADULT|OLDER_ADULT,Incidence and severity of adverse events (AEs) and laboratory abnormalities (Phase 2)|Efficacy of KYV-101 via Myasthenia Gravis Activities of Daily Living (MG-ADL) change from baseline (Phase 2)|Efficacy of KYV-101 via Myasthenia Gravis Activities of Daily Living (MG-ADL) change from baseline for KYV-101 Treatment arm to Standard of Care arm (Phase 3)|Efficacy of KYV-101 via Quantitative Myasthenia Gravis (QMG) change from baseline for KYV-101 Treatment arm to Standard of Care arm (Phase 3),Other immune-mediated,Single disease,Other immune-mediated,False,CD19,explicit_marker,Autologous,named_product,high,Industry,Adult,kyv-101,2024.0,2026-04-25
NCT06868290,Phase 2 Study Evaluating Rapcabtagene Autoleucel in Participants With Severe Active GPA or MPA,RECRUITING,PHASE2,ANCA Associated Vasculitis (AAV),Active Comparator|Glucocorticoids|Rapcabtagene autoleucel,2025-03-13,2026-02-23,126,Brazil|Israel|Japan|Saudi Arabia|Singapore|Switzerland|United Kingdom|United States,The purpose of this study is to evaluate the efficacy and safety of rapcabtagene autoleucel versus comparator in participants with severe active Granulomatosis with Polyangiitis (GPA) or Microscopic Polyangiitis (MPA),Novartis Pharmaceuticals,INDUSTRY,18 Years,75 Years,ADULT|OLDER_ADULT,Event-free survival (EFS),AAV,Single disease,AAV,False,CD19,named_product,Autologous,explicit_autologous,high,Industry,Adult,ytb323,2025.0,2026-04-25
NCT07324889,"An Open-label, Single-arm, Prospective, Multicenter, Phase I/II Clinical Study on the Safety and Efficacy of CD19/BCMA CAR-T Cell Therapy for Relapsed/Refractory Warm Antibody Autoimmune Hemolytic Anemia",NOT_YET_RECRUITING,PHASE1|PHASE2,Relapsed/Refractory Warm Antibody Autoimmune Hemolytic Anemia,CD19/BCMA CAR-T,2026-01-31,2026-01-08,24,,"This study is an open-label, single-arm, prospective, multicenter, phase I/II clinical trial. It adopts the two-stage optimal design proposed by Bryant and Day to investigate the efficacy, safety, and in vivo pharmacokinetic characteristics of CD19/BCMA CAR-T cell therapy in the treatment of relapsed/refractory warm antibody autoimmune hemolytic anemia.",Yihao Wang,OTHER,18 Years,75 Years,ADULT|OLDER_ADULT,Incidence and Severity of Adverse Events,Other immune-mediated,Single disease,Other immune-mediated,False,CD19/BCMA dual,explicit_marker,Autologous,default_autologous_no_allo_markers,medium,Academic,Adult,,2026.0,2026-04-25
